DeviceTag: Xsens DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Quaternion),StartTime: 2025-09-10 15:12:06.269,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
10942070,0.5180,-0.6784,0.3507,0.3853,0.3487,1.1241,-1.8239,0
10942237,0.5207,-0.6770,0.3497,0.3850,0.2186,1.0156,-1.1449,0
10942404,0.5235,-0.6760,0.3492,0.3834,-0.4615,0.9233,-0.9321,0
10942570,0.5251,-0.6760,0.3485,0.3819,-0.9299,1.2642,-0.5421,0
10942737,0.5245,-0.6773,0.3478,0.3811,-1.2160,1.4521,-0.7844,0
10942904,0.5220,-0.6797,0.3473,0.3806,-0.6007,1.5693,-0.8010,0
10943070,0.5192,-0.6824,0.3478,0.3792,0.3666,1.5470,-0.5356,0
10943237,0.5168,-0.6850,0.3495,0.3763,0.4256,1.5050,-0.8676,0
10943404,0.5142,-0.6880,0.3517,0.3721,0.1147,1.3411,-1.1070,0
10943570,0.5105,-0.6922,0.3540,0.3674,-0.2740,1.3830,-1.2421,0
10943737,0.5057,-0.6976,0.3562,0.3616,-0.3304,1.3267,-1.4411,0
10943904,0.5004,-0.7037,0.3584,0.3549,0.1934,1.0430,-1.1770,0
10944070,0.4962,-0.7095,0.3613,0.3463,0.8609,0.9740,-0.8452,0
10944237,0.4928,-0.7151,0.3646,0.3360,0.2059,0.8906,-1.0700,0
10944404,0.4896,-0.7208,0.3678,0.3247,-0.0695,0.3361,-1.0641,0
10944570,0.4851,-0.7272,0.3706,0.3137,-0.4249,0.2377,-0.9156,0
10944737,0.4793,-0.7344,0.3726,0.3033,-0.3686,0.0820,-0.8897,0
10944904,0.4728,-0.7420,0.3743,0.2930,0.3359,0.1491,-0.8950,0
10945070,0.4677,-0.7490,0.3761,0.2808,1.0083,0.2154,-0.8748,0
10945237,0.4650,-0.7548,0.3783,0.2665,0.3367,-0.0820,-0.3031,0
10945404,0.4616,-0.7609,0.3797,0.2526,-1.0413,-0.7264,-0.6963,0
10945570,0.4550,-0.7687,0.3796,0.2407,-0.4941,-0.8313,-1.3236,0
10945737,0.4475,-0.7770,0.3790,0.2288,1.2340,-0.3132,-1.2070,0
10945904,0.4430,-0.7838,0.3794,0.2134,2.1348,0.2476,-1.0487,0
10946070,0.4419,-0.7887,0.3806,0.1947,0.7087,-0.6078,-0.3234,0
10946237,0.4387,-0.7943,0.3806,0.1783,-1.3257,-1.4013,-0.5272,0
10946404,0.4299,-0.8025,0.3792,0.1657,-0.3439,-1.5335,-1.0168,0
10946570,0.4199,-0.8107,0.3777,0.1543,1.5306,-0.7561,-0.2110,0
10946737,0.4144,-0.8165,0.3770,0.1396,2.4848,0.1700,0.3739,0
10946904,0.4138,-0.8197,0.3769,0.1219,0.8924,0.2326,0.2456,0
10947070,0.4126,-0.8230,0.3760,0.1048,-0.8699,-0.7667,-0.4344,0
10947237,0.4067,-0.8283,0.3744,0.0911,-0.6722,-1.1536,-1.2739,0
10947404,0.3987,-0.8342,0.3729,0.0783,1.1116,-0.7169,-0.2376,0
10947570,0.3928,-0.8386,0.3720,0.0640,1.5937,0.1258,0.4749,0
10947737,0.3896,-0.8415,0.3713,0.0477,0.8775,-0.2161,-0.0781,0
10947904,0.3860,-0.8443,0.3704,0.0318,0.4681,-1.0140,-0.3428,0
10948070,0.3808,-0.8473,0.3697,0.0170,0.7099,-0.8948,-0.3351,0
10948237,0.3751,-0.8503,0.3692,0.0027,0.8898,-0.6234,-0.4709,0
10948404,0.3706,-0.8524,0.3686,-0.0128,1.6627,-0.1437,-0.1895,0
10948570,0.3686,-0.8532,0.3678,-0.0303,1.0299,-0.1140,0.3505,0
10948737,0.3666,-0.8536,0.3670,-0.0477,0.2976,-0.3393,-0.3523,0
10948904,0.3621,-0.8549,0.3659,-0.0638,0.3461,-1.2624,-0.7286,0
10949070,0.3557,-0.8568,0.3651,-0.0781,0.7638,-1.0647,-0.0139,0
10949237,0.3498,-0.8582,0.3642,-0.0925,1.3681,-0.4521,0.3654,0
10949404,0.3460,-0.8585,0.3629,-0.1081,0.9635,-0.1250,0.4484,0
10949570,0.3435,-0.8581,0.3609,-0.1247,0.5702,-0.4612,0.5113,0
10949737,0.3400,-0.8579,0.3588,-0.1406,0.4083,-0.9412,-0.5678,0
10949904,0.3349,-0.8581,0.3568,-0.1556,0.5001,-1.3216,-0.1221,0
10950070,0.3289,-0.8583,0.3555,-0.1700,0.9043,-0.7781,0.1935,0
10950237,0.3235,-0.8578,0.3539,-0.1851,1.0639,-0.7630,0.2276,0
