tracker_1_WXYZ,tracker_2_WXYZ
"0.4276,-0.6998,-0.0272,0.5716","0.1256,-0.7128,-0.0560,0.6878"
"0.4327,-0.6888,-0.0286,0.5809","0.1261,-0.7130,-0.0561,0.6875"
"0.4414,-0.6737,-0.0285,0.5921","0.1268,-0.7132,-0.0562,0.6871"
"0.4464,-0.6643,-0.0287,0.5988","0.1307,-0.7147,-0.0552,0.6848"
"0.4548,-0.6440,-0.0327,0.6143","0.1351,-0.7165,-0.0547,0.6822"
"0.4614,-0.6224,-0.0407,0.6310","0.1394,-0.7182,-0.0547,0.6795"
"0.4697,-0.5986,-0.0462,0.6473","0.1459,-0.7210,-0.0503,0.6756"
"0.4785,-0.5731,-0.0499,0.6634","0.1516,-0.7243,-0.0467,0.6710"
"0.4820,-0.5605,-0.0535,0.6713","0.1533,-0.7264,-0.0461,0.6684"
"0.4877,-0.5349,-0.0631,0.6870","0.1543,-0.7288,-0.0460,0.6655"
"0.4935,-0.5078,-0.0739,0.7023","0.1627,-0.7372,-0.0407,0.6545"
"0.4994,-0.4789,-0.0849,0.7170","0.1688,-0.7431,-0.0369,0.6465"
"0.5055,-0.4476,-0.0957,0.7314","0.1740,-0.7497,-0.0327,0.6376"
"0.5083,-0.4313,-0.1017,0.7384","0.1764,-0.7530,-0.0306,0.6332"
"0.5134,-0.3974,-0.1142,0.7520","0.1857,-0.7695,-0.0225,0.6107"
"0.5188,-0.3613,-0.1246,0.7647","0.1907,-0.7779,-0.0178,0.5984"
"0.5246,-0.3239,-0.1326,0.7761","0.1956,-0.7856,-0.0134,0.5869"
"0.5285,-0.2872,-0.1420,0.7861","0.1975,-0.7897,-0.0114,0.5808"
"0.5301,-0.2686,-0.1459,0.7909","0.2000,-0.7971,-0.0093,0.5697"
"0.5324,-0.2308,-0.1531,0.7999","0.2026,-0.8036,-0.0070,0.5596"
"0.5331,-0.1927,-0.1605,0.8080","0.2039,-0.8075,-0.0050,0.5535"
"0.5323,-0.1557,-0.1692,0.8148","0.2052,-0.8084,-0.0041,0.5517"
"0.5310,-0.1196,-0.1773,0.8200","0.2070,-0.8087,-0.0034,0.5505"
"0.5303,-0.1015,-0.1800,0.8223","0.2089,-0.8107,-0.0014,0.5470"
"0.5289,-0.0669,-0.1869,0.8251","0.2128,-0.8155,0.0034,0.5381"
"0.5272,-0.0339,-0.1938,0.8267","0.2152,-0.8196,0.0064,0.5309"
"0.5247,-0.0021,-0.2000,0.8275","0.2180,-0.8253,0.0098,0.5208"
"0.5213,0.0283,-0.2068,0.8274","0.2200,-0.8286,0.0120,0.5146"
"0.5194,0.0430,-0.2107,0.8270","0.2241,-0.8350,0.0168,0.5022"
"0.5152,0.0714,-0.2182,0.8258","0.2285,-0.8406,0.0215,0.4906"
"0.5106,0.0996,-0.2226,0.8245","0.2330,-0.8455,0.0257,0.4799"
"0.5058,0.1274,-0.2271,0.8224","0.2367,-0.8498,0.0295,0.4700"
"0.5012,0.1544,-0.2339,0.8187","0.2381,-0.8515,0.0308,0.4661"
"0.4988,0.1676,-0.2377,0.8164","0.2389,-0.8529,0.0321,0.4631"
"0.4943,0.1930,-0.2453,0.8114","0.2393,-0.8554,0.0337,0.4582"
"0.4896,0.2167,-0.2534,0.8057","0.2386,-0.8560,0.0336,0.4574"
"0.4853,0.2383,-0.2632,0.7990","0.2365,-0.8534,0.0323,0.4634"
"0.4821,0.2576,-0.2745,0.7911","0.2350,-0.8515,0.0312,0.4677"
"0.4805,0.2667,-0.2787,0.7876","0.2313,-0.8469,0.0283,0.4779"
"0.4770,0.2835,-0.2856,0.7814","0.2283,-0.8418,0.0257,0.4885"
"0.4741,0.2991,-0.2909,0.7754","0.2268,-0.8393,0.0248,0.4934"
"0.4707,0.3228,-0.2994,0.7646","0.2220,-0.8316,0.0222,0.5086"
"0.4704,0.3269,-0.3011,0.7624","0.2211,-0.8282,0.0206,0.5146"
"0.4696,0.3332,-0.3028,0.7594","0.2203,-0.8244,0.0180,0.5211"
"0.4697,0.3365,-0.3043,0.7574","0.2192,-0.8179,0.0109,0.5319"
"0.4707,0.3359,-0.3048,0.7567","0.2164,-0.8151,0.0056,0.5374"
"0.4722,0.3307,-0.3026,0.7590","0.2146,-0.8125,0.0024,0.5420"
"0.4735,0.3260,-0.3013,0.7608","0.2138,-0.8109,0.0002,0.5447"
"0.4768,0.3142,-0.2970,0.7653","0.2092,-0.8044,-0.0054,0.5560"
"0.4805,0.2999,-0.2916,0.7708","0.2024,-0.7955,-0.0110,0.5711"
"0.4850,0.2830,-0.2876,0.7759","0.1994,-0.7850,-0.0135,0.5864"
"0.4893,0.2637,-0.2801,0.7827","0.1947,-0.7743,-0.0168,0.6019"
"0.4917,0.2525,-0.2762,0.7862","0.1922,-0.7694,-0.0183,0.6089"
"0.4985,0.2253,-0.2725,0.7915","0.1853,-0.7629,-0.0212,0.6191"
"0.5057,0.1924,-0.2682,0.7970","0.1831,-0.7616,-0.0218,0.6213"
"0.5114,0.1567,-0.2575,0.8047","0.1819,-0.7599,-0.0224,0.6236"
"0.5163,0.1197,-0.2465,0.8114","0.1725,-0.7541,-0.0298,0.6330"
"0.5186,0.1003,-0.2423,0.8138","0.1709,-0.7517,-0.0312,0.6362"
"0.5226,0.0606,-0.2376,0.8166","0.1705,-0.7499,-0.0320,0.6384"
"0.5250,0.0250,-0.2268,0.8199","0.1641,-0.7447,-0.0377,0.6458"
"0.5266,-0.0092,-0.2179,0.8217","0.1625,-0.7409,-0.0383,0.6505"
"0.5282,-0.0436,-0.2143,0.8205","0.1594,-0.7366,-0.0410,0.6560"
"0.5294,-0.0606,-0.2104,0.8196","0.1570,-0.7345,-0.0434,0.6587"
"0.5321,-0.0930,-0.1982,0.8179","0.1472,-0.7290,-0.0514,0.6665"
"0.5338,-0.1265,-0.1930,0.8135","0.1389,-0.7245,-0.0599,0.6725"
"0.5342,-0.1583,-0.1871,0.8091","0.1317,-0.7226,-0.0638,0.6756"
"0.5334,-0.1990,-0.1735,0.8036","0.1301,-0.7218,-0.0637,0.6768"
"0.5304,-0.2258,-0.1725,0.7987","0.1233,-0.7204,-0.0686,0.6790"
"0.5279,-0.2505,-0.1689,0.7937","0.1190,-0.7198,-0.0698,0.6804"
"0.5276,-0.2752,-0.1632,0.7870","0.1155,-0.7191,-0.0714,0.6815"
"0.5268,-0.3031,-0.1602,0.7777","0.1121,-0.7187,-0.0731,0.6823"
"0.5261,-0.3175,-0.1578,0.7730","0.1063,-0.7179,-0.0752,0.6839"
"0.5253,-0.3444,-0.1481,0.7639","0.1029,-0.7169,-0.0756,0.6854"
"0.5237,-0.3700,-0.1382,0.7548","0.1001,-0.7159,-0.0762,0.6868"
"0.5172,-0.3993,-0.1365,0.7446","0.0966,-0.7146,-0.0786,0.6883"
"0.5104,-0.4274,-0.1289,0.7350","0.0944,-0.7140,-0.0804,0.6891"
"0.5089,-0.4393,-0.1202,0.7305","0.0910,-0.7110,-0.0840,0.6922"
"0.4934,-0.4896,-0.1064,0.7111","0.0918,-0.7096,-0.0852,0.6934"
"0.4872,-0.5113,-0.0955,0.7015","0.0912,-0.7091,-0.0876,0.6937"
"0.4805,-0.5327,-0.0867,0.6913","0.0916,-0.7090,-0.0879,0.6937"
"0.4777,-0.5429,-0.0818,0.6859","0.0935,-0.7090,-0.0871,0.6936"
"0.4727,-0.5633,-0.0726,0.6738","0.0960,-0.7097,-0.0852,0.6927"
"0.4693,-0.5817,-0.0608,0.6616","0.0993,-0.7108,-0.0823,0.6915"
"0.4642,-0.5993,-0.0523,0.6501","0.1018,-0.7126,-0.0797,0.6895"
"0.4567,-0.6176,-0.0483,0.6385","0.1034,-0.7138,-0.0778,0.6883"
"0.4536,-0.6265,-0.0456,0.6322","0.1050,-0.7150,-0.0758,0.6871"
"0.4485,-0.6437,-0.0381,0.6189","0.1063,-0.7160,-0.0739,0.6860"
"0.4432,-0.6602,-0.0314,0.6055","0.1078,-0.7172,-0.0714,0.6847"
"0.4362,-0.6766,-0.0277,0.5927","0.1104,-0.7183,-0.0658,0.6837"
"0.4280,-0.6926,-0.0255,0.5801","0.1109,-0.7178,-0.0646,0.6844"
"0.4252,-0.6997,-0.0233,0.5736","0.1087,-0.7171,-0.0655,0.6853"
"0.4214,-0.7122,-0.0181,0.5610","0.1091,-0.7182,-0.0641,0.6842"
"0.4182,-0.7227,-0.0136,0.5501","0.1120,-0.7197,-0.0603,0.6825"
"0.4157,-0.7307,-0.0104,0.5415","0.1138,-0.7198,-0.0592,0.6822"
"0.4139,-0.7363,-0.0081,0.5353","0.1137,-0.7198,-0.0596,0.6822"
"0.4141,-0.7376,-0.0066,0.5333","0.1132,-0.7203,-0.0607,0.6817"
"0.4154,-0.7374,-0.0051,0.5326","0.1135,-0.7207,-0.0607,0.6812"
"0.4178,-0.7346,-0.0041,0.5346","0.1140,-0.7213,-0.0606,0.6805"
"0.4222,-0.7295,-0.0022,0.5382","0.1158,-0.7220,-0.0608,0.6795"
"0.4293,-0.7209,0.0006,0.5441","0.1191,-0.7224,-0.0613,0.6784"
"0.4319,-0.7164,0.0011,0.5479","0.1227,-0.7233,-0.0603,0.6768"
"0.4352,-0.7075,-0.0009,0.5568","0.1249,-0.7240,-0.0599,0.6758"
"0.4451,-0.6926,0.0010,0.5677","0.1326,-0.7265,-0.0586,0.6717"
"0.4570,-0.6715,0.0018,0.5833","0.1407,-0.7292,-0.0548,0.6675"
"0.4610,-0.6513,-0.0080,0.6027","0.1455,-0.7309,-0.0519,0.6647"
"0.4626,-0.6412,-0.0137,0.6121","0.1543,-0.7353,-0.0469,0.6582"
"0.4697,-0.6183,-0.0210,0.6298","0.1619,-0.7408,-0.0417,0.6506"
"0.4771,-0.5932,-0.0297,0.6477","0.1701,-0.7467,-0.0357,0.6420"
"0.4816,-0.5672,-0.0445,0.6666","0.1784,-0.7540,-0.0289,0.6315"
"0.4886,-0.5240,-0.0657,0.6945","0.1824,-0.7579,-0.0254,0.6259"
"0.4934,-0.4922,-0.0805,0.7126","0.1852,-0.7621,-0.0235,0.6200"
"0.4964,-0.4594,-0.0996,0.7298","0.1880,-0.7662,-0.0215,0.6141"
"0.5005,-0.4234,-0.1156,0.7462","0.1960,-0.7821,-0.0170,0.5913"
"0.5055,-0.3842,-0.1280,0.7618","0.2028,-0.7937,-0.0123,0.5734"
"0.5082,-0.3637,-0.1336,0.7692","0.2052,-0.8013,-0.0106,0.5618"
"0.5130,-0.3211,-0.1441,0.7829","0.2090,-0.8072,-0.0079,0.5520"
"0.5185,-0.2773,-0.1531,0.7942","0.2120,-0.8109,-0.0058,0.5454"
"0.5233,-0.2327,-0.1599,0.8040","0.2143,-0.8132,-0.0039,0.5411"
"0.5257,-0.1876,-0.1665,0.8128","0.2157,-0.8139,-0.0029,0.5395"
"0.5264,-0.1657,-0.1703,0.8163","0.2177,-0.8144,-0.0016,0.5380"
"0.5269,-0.1232,-0.1786,0.8217","0.2197,-0.8149,-0.0002,0.5364"
"0.5265,-0.0833,-0.1887,0.8248","0.2231,-0.8202,0.0052,0.5268"
"0.5254,-0.0449,-0.1970,0.8265","0.2265,-0.8281,0.0122,0.5126"
"0.5235,-0.0088,-0.2074,0.8263","0.2275,-0.8313,0.0147,0.5070"
"0.5225,0.0087,-0.2121,0.8258","0.2293,-0.8389,0.0199,0.4932"
"0.5198,0.0416,-0.2194,0.8246","0.2318,-0.8477,0.0253,0.4764"
"0.5174,0.0721,-0.2253,0.8224","0.2354,-0.8555,0.0297,0.4603"
"0.5142,0.1003,-0.2303,0.8200","0.2371,-0.8583,0.0315,0.4539"
"0.5113,0.1258,-0.2388,0.8159","0.2413,-0.8604,0.0335,0.4476"
"0.5095,0.1384,-0.2421,0.8140","0.2447,-0.8592,0.0342,0.4480"
"0.5049,0.1633,-0.2465,0.8110","0.2456,-0.8569,0.0328,0.4520"
"0.5008,0.1861,-0.2540,0.8062","0.2453,-0.8533,0.0290,0.4592"
"0.4963,0.2077,-0.2602,0.8017","0.2448,-0.8511,0.0266,0.4638"
"0.4915,0.2281,-0.2664,0.7972","0.2443,-0.8487,0.0241,0.4684"
"0.4895,0.2374,-0.2710,0.7941","0.2438,-0.8464,0.0219,0.4730"
"0.4851,0.2564,-0.2773,0.7887","0.2416,-0.8419,0.0188,0.4821"
"0.4806,0.2757,-0.2827,0.7830","0.2391,-0.8373,0.0164,0.4913"
"0.4776,0.2940,-0.2918,0.7748","0.2373,-0.8318,0.0122,0.5017"
"0.4758,0.3102,-0.2998,0.7665","0.2339,-0.8263,0.0075,0.5124"
